baseline,margin_type,margin,vop_minus_baseline,satisfied
periodic_profile,absolute,0.001,-7.547769045118669e-05,True
periodic_profile,absolute,0.005,-7.547769045118669e-05,True
periodic_profile,absolute,0.01,-7.547769045118669e-05,True
periodic_profile,relative,0.01,-0.00015097317336531542,True
periodic_profile,relative,0.05,-0.00015097317336531542,True
periodic_profile,relative,0.1,-0.00015097317336531542,True
random_profile,absolute,0.001,-6.980984948806723e-05,True
random_profile,absolute,0.005,-6.980984948806723e-05,True
random_profile,absolute,0.01,-6.980984948806723e-05,True
random_profile,relative,0.01,-0.00013963773842644945,True
random_profile,relative,0.05,-0.00013963773842644945,True
random_profile,relative,0.1,-0.00013963773842644945,True
uncertainty_only,absolute,0.001,-1.0647599880564407e-05,True
uncertainty_only,absolute,0.005,-1.0647599880564407e-05,True
uncertainty_only,absolute,0.01,-1.0647599880564407e-05,True
uncertainty_only,relative,0.01,-2.1300471883506184e-05,True
uncertainty_only,relative,0.05,-2.1300471883506184e-05,True
uncertainty_only,relative,0.1,-2.1300471883506184e-05,True
